"Source","Target","論文ID","論文タイトル","所属1","所属2","発行日","テスト1","テスト2","テスト3"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","6 リポソーム・LNP・バイオナノ材料","https://doi.org/10.1038/s41565-020-0669-6","Selective organ targeting (SORT) nanoparticles for tissue-specific mRNA delivery and CRISPR–Cas gene editing","","","2023/05/01","1","16.3","39.9"
"6 リポソーム・LNP・バイオナノ材料","7 ナノバイオ・医療・生体応用実験・評価","https://doi.org/10.1038/s41565-020-0669-6","Selective organ targeting (SORT) nanoparticles for tissue-specific mRNA delivery and CRISPR–Cas gene editing","","","2023/05/01","1","16.3","39.9"
"7 ナノバイオ・医療・生体応用実験・評価","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-020-0669-6","Selective organ targeting (SORT) nanoparticles for tissue-specific mRNA delivery and CRISPR–Cas gene editing","","","2023/05/01","1","16.3","39.9"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","8 メモリ・電子デバイス・半導体素子","https://doi.org/10.1038/s41565-020-0655-z","Memory devices and applications for in-memory computing","","","2022/01/25","1","73.2","94.8"
"8 メモリ・電子デバイス・半導体素子","8 デバイス動作・システムレベル評価・応用","https://doi.org/10.1038/s41565-020-0655-z","Memory devices and applications for in-memory computing","","","2022/01/25","1","73.2","94.8"
"8 デバイス動作・システムレベル評価・応用","1 電気・電子・論理・量子デバイス性能","https://doi.org/10.1038/s41565-020-0655-z","Memory devices and applications for in-memory computing","","","2022/01/25","1","73.2","94.8"
"2 デバイス・機能材料の設計・開発・動作・応用","6 リポソーム・LNP・バイオナノ材料","https://doi.org/10.1038/s41565-021-00931-2","Extracellular vesicles as a next-generation drug delivery platform","","","2020/12/19","1","27.1","76.7"
"6 リポソーム・LNP・バイオナノ材料","7 ナノバイオ・医療・生体応用実験・評価","https://doi.org/10.1038/s41565-021-00931-2","Extracellular vesicles as a next-generation drug delivery platform","","","2020/12/19","1","27.1","76.7"
"7 ナノバイオ・医療・生体応用実験・評価","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-021-00931-2","Extracellular vesicles as a next-generation drug delivery platform","","","2020/12/19","1","27.1","76.7"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","6 リポソーム・LNP・バイオナノ材料","https://doi.org/10.1038/s41565-021-00898-0","The current landscape of nucleic acid therapeutics","","","2025/01/29","1","95.8","43.4"
"6 リポソーム・LNP・バイオナノ材料","13 レビュー・総説・動向分析・社会データ","https://doi.org/10.1038/s41565-021-00898-0","The current landscape of nucleic acid therapeutics","","","2025/01/29","1","95.8","43.4"
"13 レビュー・総説・動向分析・社会データ","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-021-00898-0","The current landscape of nucleic acid therapeutics","","","2025/01/29","1","95.8","43.4"
"1 新規材料・ナノ構造の合成・成長・構造制御・基礎物性の解明","6 リポソーム・LNP・バイオナノ材料","https://doi.org/10.1038/s41565-021-00858-8","Key principles and methods for studying the endocytosis of biological and nanoparticle therapeutics","","","2023/02/06","1","1","64.7"
"6 リポソーム・LNP・バイオナノ材料","3 構造評価・表面分析・顕微鏡観察","https://doi.org/10.1038/s41565-021-00858-8","Key principles and methods for studying the endocytosis of biological and nanoparticle therapeutics","","","2023/02/06","1","1","64.7"
"3 構造評価・表面分析・顕微鏡観察","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-021-00858-8","Key principles and methods for studying the endocytosis of biological and nanoparticle therapeutics","","","2023/02/06","1","1","64.7"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","14 その他（複合材料・特殊構造体等）","https://doi.org/10.1038/s41565-020-0707-4","Differentially charged nanoplastics demonstrate distinct accumulation in Arabidopsis thaliana","","","2020/08/14","1","80.4","58.7"
"14 その他（複合材料・特殊構造体等）","3 構造評価・表面分析・顕微鏡観察","https://doi.org/10.1038/s41565-020-0707-4","Differentially charged nanoplastics demonstrate distinct accumulation in Arabidopsis thaliana","","","2020/08/14","1","80.4","58.7"
"3 構造評価・表面分析・顕微鏡観察","10 計測技術・センシング・検出・イメージング","https://doi.org/10.1038/s41565-020-0707-4","Differentially charged nanoplastics demonstrate distinct accumulation in Arabidopsis thaliana","","","2020/08/14","1","80.4","58.7"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","9 バッテリー材料・電極・電解質","https://doi.org/10.1038/s41565-021-00905-4","Fluorinated interphase enables reversible aqueous zinc battery chemistries","","","2023/05/08","1","24.7","42.5"
"9 バッテリー材料・電極・電解質","9 化学反応・触媒・電気化学的評価","https://doi.org/10.1038/s41565-021-00905-4","Fluorinated interphase enables reversible aqueous zinc battery chemistries","","","2023/05/08","1","24.7","42.5"
"9 化学反応・触媒・電気化学的評価","4 材料の安定性・耐久性・分散・リサイクル性等","https://doi.org/10.1038/s41565-021-00905-4","Fluorinated interphase enables reversible aqueous zinc battery chemistries","","","2023/05/08","1","24.7","42.5"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-020-0724-3","Two-dimensional materials for next-generation computing technologies","","","2023/03/03","1","47.1","48.6"
"1 二次元材料・層状材料・グラフェン・TMDs関連","8 デバイス動作・システムレベル評価・応用","https://doi.org/10.1038/s41565-020-0724-3","Two-dimensional materials for next-generation computing technologies","","","2023/03/03","1","47.1","48.6"
"8 デバイス動作・システムレベル評価・応用","1 電気・電子・論理・量子デバイス性能","https://doi.org/10.1038/s41565-020-0724-3","Two-dimensional materials for next-generation computing technologies","","","2023/03/03","1","47.1","48.6"
"6 環境・安全性・リスク評価・サステナビリティ・規制・社会実装","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-022-01121-4","Efficient conversion of low-concentration nitrate sources into ammonia on a Ru-dispersed Cu nanowire electrocatalyst","","","2021/01/22","1","67.4","56.6"
"4 金属・合金・ナノ粒子・触媒材料","9 化学反応・触媒・電気化学的評価","https://doi.org/10.1038/s41565-022-01121-4","Efficient conversion of low-concentration nitrate sources into ammonia on a Ru-dispersed Cu nanowire electrocatalyst","","","2021/01/22","1","67.4","56.6"
"9 化学反応・触媒・電気化学的評価","5 化学反応性・触媒活性・電気化学特性","https://doi.org/10.1038/s41565-022-01121-4","Efficient conversion of low-concentration nitrate sources into ammonia on a Ru-dispersed Cu nanowire electrocatalyst","","","2021/01/22","1","67.4","56.6"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","2 ペロブスカイト・量子ドット・ナノ結晶材料","https://doi.org/10.1038/s41565-020-0714-5","Bipolar-shell resurfacing for blue LEDs based on strongly confined perovskite quantum dots","","","2021/05/19","1","60.3","1.2"
"2 ペロブスカイト・量子ドット・ナノ結晶材料","2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","https://doi.org/10.1038/s41565-020-0714-5","Bipolar-shell resurfacing for blue LEDs based on strongly confined perovskite quantum dots","","","2021/05/19","1","60.3","1.2"
"2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","6 発光・フォトニクス・スペクトル・非線形光学特性","https://doi.org/10.1038/s41565-020-0714-5","Bipolar-shell resurfacing for blue LEDs based on strongly confined perovskite quantum dots","","","2021/05/19","1","60.3","1.2"
"11 界面・表面・ナノスケール構造・ダイナミクスの可視化・制御・解析","3 カーボンナノ材料（CNT、カーボンドット等）","https://doi.org/10.1038/s41565-021-01051-7","A multifunctional chemical toolbox to engineer carbon dots for biomedical and energy applications","","","2023/11/18","1","62.3","72.9"
"3 カーボンナノ材料（CNT、カーボンドット等）","3 構造評価・表面分析・顕微鏡観察","https://doi.org/10.1038/s41565-021-01051-7","A multifunctional chemical toolbox to engineer carbon dots for biomedical and energy applications","","","2023/11/18","1","62.3","72.9"
"3 構造評価・表面分析・顕微鏡観察","15 多機能・複合・システム・統合評価","https://doi.org/10.1038/s41565-021-01051-7","A multifunctional chemical toolbox to engineer carbon dots for biomedical and energy applications","","","2023/11/18","1","62.3","72.9"
"7 センシング・バイオセンシング・イメージング・計測技術の開発・応用","8 メモリ・電子デバイス・半導体素子","https://doi.org/10.1038/s41565-020-0647-z","Neuromorphic nanoelectronic materials","","","2021/04/10","1","24","44.3"
"8 メモリ・電子デバイス・半導体素子","10 マルチモーダル・複合的解析・統合手法","https://doi.org/10.1038/s41565-020-0647-z","Neuromorphic nanoelectronic materials","","","2021/04/10","1","24","44.3"
"10 マルチモーダル・複合的解析・統合手法","1 電気・電子・論理・量子デバイス性能","https://doi.org/10.1038/s41565-020-0647-z","Neuromorphic nanoelectronic materials","","","2021/04/10","1","24","44.3"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","5 ポリマー・高分子・有機材料・有機半導体","https://doi.org/10.1038/s41565-020-00800-4","Scalable and hierarchically designed polymer film as a selective thermal emitter for high-performance all-day radiative cooling","","","2025/07/04","1","67","93.6"
"5 ポリマー・高分子・有機材料・有機半導体","2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","https://doi.org/10.1038/s41565-020-00800-4","Scalable and hierarchically designed polymer film as a selective thermal emitter for high-performance all-day radiative cooling","","","2025/07/04","1","67","93.6"
"2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","1 電気・電子・論理・量子デバイス性能","https://doi.org/10.1038/s41565-020-00800-4","Scalable and hierarchically designed polymer film as a selective thermal emitter for high-performance all-day radiative cooling","","","2025/07/04","1","67","93.6"
"11 界面・表面・ナノスケール構造・ダイナミクスの可視化・制御・解析","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-020-00824-w","Challenges in applying highly active Pt-based nanostructured catalysts for oxygen reduction reactions to fuel cell vehicles","","","2024/10/06","1","94.5","92.6"
"4 金属・合金・ナノ粒子・触媒材料","13 レビュー・総説・動向分析・社会データ","https://doi.org/10.1038/s41565-020-00824-w","Challenges in applying highly active Pt-based nanostructured catalysts for oxygen reduction reactions to fuel cell vehicles","","","2024/10/06","1","94.5","92.6"
"13 レビュー・総説・動向分析・社会データ","4 材料の安定性・耐久性・分散・リサイクル性等","https://doi.org/10.1038/s41565-020-00824-w","Challenges in applying highly active Pt-based nanostructured catalysts for oxygen reduction reactions to fuel cell vehicles","","","2024/10/06","1","94.5","92.6"
"11 界面・表面・ナノスケール構造・ダイナミクスの可視化・制御・解析","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-021-00886-4","Nanoplastics are neither microplastics nor engineered nanoparticles","","","2021/10/09","1","10.9","56.6"
"4 金属・合金・ナノ粒子・触媒材料","3 構造評価・表面分析・顕微鏡観察","https://doi.org/10.1038/s41565-021-00886-4","Nanoplastics are neither microplastics nor engineered nanoparticles","","","2021/10/09","1","10.9","56.6"
"3 構造評価・表面分析・顕微鏡観察","3 構造・組成・形態・界面・表面特性","https://doi.org/10.1038/s41565-021-00886-4","Nanoplastics are neither microplastics nor engineered nanoparticles","","","2021/10/09","1","10.9","56.6"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","14 その他（複合材料・特殊構造体等）","https://doi.org/10.1038/s41565-020-0737-y","COVID-19 vaccine development and a potential nanomaterial path forward","","","2023/03/27","1","74.6","53.3"
"14 その他（複合材料・特殊構造体等）","13 レビュー・総説・動向分析・社会データ","https://doi.org/10.1038/s41565-020-0737-y","COVID-19 vaccine development and a potential nanomaterial path forward","","","2023/03/27","1","74.6","53.3"
"13 レビュー・総説・動向分析・社会データ","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-020-0737-y","COVID-19 vaccine development and a potential nanomaterial path forward","","","2023/03/27","1","74.6","53.3"
"11 界面・表面・ナノスケール構造・ダイナミクスの可視化・制御・解析","11 セラミックス・酸化物・誘電体・光学材料","https://doi.org/10.1038/s41565-020-0768-4","Complex-amplitude metasurface-based orbital angular momentum holography in momentum space","","","2022/01/25","1","1.1","38.3"
"11 セラミックス・酸化物・誘電体・光学材料","2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","https://doi.org/10.1038/s41565-020-0768-4","Complex-amplitude metasurface-based orbital angular momentum holography in momentum space","","","2022/01/25","1","1.1","38.3"
"2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","2 磁気・スピン・フォトニック・集積化デバイス","https://doi.org/10.1038/s41565-020-0768-4","Complex-amplitude metasurface-based orbital angular momentum holography in momentum space","","","2022/01/25","1","1.1","38.3"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-021-01045-5","Advances and applications of nanophotonic biosensors","","","2025/02/13","1","91.1","54.4"
"1 二次元材料・層状材料・グラフェン・TMDs関連","5 電気・電子・磁気・光学的測定","https://doi.org/10.1038/s41565-021-01045-5","Advances and applications of nanophotonic biosensors","","","2025/02/13","1","91.1","54.4"
"5 電気・電子・磁気・光学的測定","10 計測技術・センシング・検出・イメージング","https://doi.org/10.1038/s41565-021-01045-5","Advances and applications of nanophotonic biosensors","","","2025/02/13","1","91.1","54.4"
"2 デバイス・機能材料の設計・開発・動作・応用","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-020-0652-2","Chemical reactivity under nanoconfinement","","","2025/07/23","1","17.6","20.3"
"1 二次元材料・層状材料・グラフェン・TMDs関連","10 マルチモーダル・複合的解析・統合手法","https://doi.org/10.1038/s41565-020-0652-2","Chemical reactivity under nanoconfinement","","","2025/07/23","1","17.6","20.3"
"10 マルチモーダル・複合的解析・統合手法","5 化学反応性・触媒活性・電気化学特性","https://doi.org/10.1038/s41565-020-0652-2","Chemical reactivity under nanoconfinement","","","2025/07/23","1","17.6","20.3"
